filename,path,acad_hits,prac_hits,stream_score,top_acad_terms,top_prac_terms
Sir Matthew Hale - A short treatise touching sheriffs accompts (Book 1716).pdf,Textbooks/Academic/Accounting/Sir Matthew Hale - A short treatise touching sheriffs accompts (Book 1716).pdf,0,0,0.0,,
"Spiller, EarlA - Financial Accounting Basic Concepts (Book 1977).pdf","Textbooks/Academic/Accounting/Spiller, EarlA - Financial Accounting Basic Concepts (Book 1977).pdf",3,0,1.0,"undergraduate(1), MBA students(1), semester(1)",
"Tinker, Tony - Paper Prophets A Social Critique Of Accounting (Book 1985).pdf","Textbooks/Academic/Accounting/Tinker, Tony - Paper Prophets A Social Critique Of Accounting (Book 1985).pdf",2,3,-0.2,"corollary(1), curriculum(1)","practical(2), how to(1)"
Vincent - Public Accounting a Profession at the Crossroads (Book 1988).pdf,Textbooks/Academic/Accounting/Vincent - Public Accounting a Profession at the Crossroads (Book 1988).pdf,1,0,1.0,working paper(1),
W. R. Purcell - Understanding a company's finances (Book 1981).pdf,Textbooks/Academic/Accounting/W. R. Purcell - Understanding a company's finances (Book 1981).pdf,1,0,1.0,syllabus(1),
"Walton, Finney - Mathematics of Accounting and Finance (Book 1921).pdf","Textbooks/Academic/Accounting/Walton, Finney - Mathematics of Accounting and Finance (Book 1921).pdf",1,1,0.0,this course(1),practical(1)
"Wild, John J - Financial Accounting Fundamentals (Book 2007).pdf","Textbooks/Academic/Accounting/Wild, John J - Financial Accounting Fundamentals (Book 2007).pdf",20,1,0.9048,"textbook(4), this course(3), instructor(3), classroom(3), course materials(2)",how to(1)
William J. Bies - Accounting (Book 1983).pdf,Textbooks/Academic/Accounting/William J. Bies - Accounting (Book 1983).pdf,0,1,-1.0,,practical(1)
"Wilson, Carpenter - Analysis of Financial Statements (Book 1918).pdf","Textbooks/Academic/Accounting/Wilson, Carpenter - Analysis of Financial Statements (Book 1918).pdf",0,0,0.0,,
Ambrose Weston - Two letters describing a method of increasing the quantity of (Book 1799).pdf,Textbooks/Academic/Banking/Ambrose Weston - Two letters describing a method of increasing the quantity of (Book 1799).pdf,0,1,-1.0,,practical(1)
"Arshadi, Nasser - Modern Financial Intermediaries and Markets (Book 1997).pdf","Textbooks/Academic/Banking/Arshadi, Nasser - Modern Financial Intermediaries and Markets (Book 1997).pdf",11,8,0.1579,"review questions(7), empirical evidence(4)","insider(6), retirement(2)"
"Baldwin, R. E. - The Economics of EMU (Book 1991).pdf","Textbooks/Academic/Banking/Baldwin, R. E. - The Economics of EMU (Book 1991).pdf",14,0,1.0,"regression(9), the model(2), equilibrium(1), empirical evidence(1), prerequisite(1)",
Ball - Inflation and the Theory of Money (Book 1965).pdf,Textbooks/Academic/Banking/Ball - Inflation and the Theory of Money (Book 1965).pdf,4,1,0.6,"equilibrium(1), prerequisite(1), undergraduate(1), graduate students(1)",guide(1)
Banking Systems of the World (Book 1908).pdf,Textbooks/Academic/Banking/Banking Systems of the World (Book 1908).pdf,0,1,-1.0,,Wall Street(1)
Basch - Capital Markets of the European Economic Community (Book 1965).pdf,Textbooks/Academic/Banking/Basch - Capital Markets of the European Economic Community (Book 1965).pdf,0,0,0.0,,
Betty M. Ho - Financial markets in China (Book 2006).pdf,Textbooks/Academic/Banking/Betty M. Ho - Financial markets in China (Book 2006).pdf,6,0,1.0,"working paper(2), Journal of Finance(1), Journal of Financial Economics(1), American Economic Review(1), Quarterly Journal(1)",
"Bingham, T. R. G. - Banking and monetary policy (Book 1985).pdf","Textbooks/Academic/Banking/Bingham, T. R. G. - Banking and monetary policy (Book 1985).pdf",0,0,0.0,,
"Blake, Edward - Speeches of Hon. Edward Blake, M.P., on banks and banking (Book 1986).pdf","Textbooks/Academic/Banking/Blake, Edward - Speeches of Hon. Edward Blake, M.P., on banks and banking (Book 1986).pdf",0,0,0.0,,
Bonamy Price - The principles of currency (Book 1863).pdf,Textbooks/Academic/Banking/Bonamy Price - The principles of currency (Book 1863).pdf,0,0,0.0,,
"Bonn, M. J. - The Stabilization of the Mark (Book 1922).pdf","Textbooks/Academic/Banking/Bonn, M. J. - The Stabilization of the Mark (Book 1922).pdf",0,0,0.0,,
Bowden - Money Banking and the Financial System (Book 1989).pdf,Textbooks/Academic/Banking/Bowden - Money Banking and the Financial System (Book 1989).pdf,0,0,0.0,,
Cagan - Determinants and Effects of Changes in the Stock of Money (Book 1965).pdf,Textbooks/Academic/Banking/Cagan - Determinants and Effects of Changes in the Stock of Money (Book 1965).pdf,1,3,-0.5,university press(1),"board of directors(2), case study(1)"
"Cannon, James G. - Clearing Houses (Book 1900).pdf","Textbooks/Academic/Banking/Cannon, James G. - Clearing Houses (Book 1900).pdf",0,0,0.0,,
Carol Sloan Swindle - Using CAMEL ratings to evaluate the effectiveness of capital regulation (Book 1991).pdf,Textbooks/Academic/Banking/Carol Sloan Swindle - Using CAMEL ratings to evaluate the effectiveness of capital regulation (Book 1991).pdf,3,0,1.0,"et al.(2), empirical evidence(1)",
Chandler - The Economics of Money and Banking (Book 1964).pdf,Textbooks/Academic/Banking/Chandler - The Economics of Money and Banking (Book 1964).pdf,2,0,1.0,equilibrium(2),
Charles Chi-Wei Chi - The information content and hedging performance of foreign currency translations (Book 1989).pdf,Textbooks/Academic/Banking/Charles Chi-Wei Chi - The information content and hedging performance of foreign currency translations (Book 1989).pdf,2,0,1.0,"optimal(1), literature review(1)",
Charles Eisenstein - Sacred Economics (Book 2011).pdf,Textbooks/Academic/Banking/Charles Eisenstein - Sacred Economics (Book 2011).pdf,1,3,-0.5,this course(1),"practical(1), real-world(1), Wall Street(1)"
"Christopher Dubost - The elements of commerce; or, A treatise on different calculations, operations (Book 1805).pdf","Textbooks/Academic/Banking/Christopher Dubost - The elements of commerce; or, A treatise on different calculations, operations (Book 1805).pdf",0,1,-1.0,,practical(1)
Clark - Central Banking Under the Federal Reserve System (Book 1935).pdf,Textbooks/Academic/Banking/Clark - Central Banking Under the Federal Reserve System (Book 1935).pdf,0,0,0.0,,
Clarkson - Managing Money and Finance (Book 1983).pdf,Textbooks/Academic/Banking/Clarkson - Managing Money and Finance (Book 1983).pdf,0,3,-1.0,,how to(3)
Conant - A History of Modern Banks of Issue (Book 1915).pdf,Textbooks/Academic/Banking/Conant - A History of Modern Banks of Issue (Book 1915).pdf,0,1,-1.0,,Wall Street(1)
"Conant, Charles A. - A History of Modern Banks of Issue (Book 1896).pdf","Textbooks/Academic/Banking/Conant, Charles A. - A History of Modern Banks of Issue (Book 1896).pdf",1,0,1.0,semester(1),
Conard - The Behavior of Interest Rates (Book 1966).pdf,Textbooks/Academic/Banking/Conard - The Behavior of Interest Rates (Book 1966).pdf,1,2,-0.3333,university press(1),board of directors(2)
Condy Raguet - A treatise on currency & banking (Book 1839).pdf,Textbooks/Academic/Banking/Condy Raguet - A treatise on currency & banking (Book 1839).pdf,0,0,0.0,,
Crane - A Scientific Currency (Book 1910).pdf,Textbooks/Academic/Banking/Crane - A Scientific Currency (Book 1910).pdf,0,0,0.0,,
David Kinley - Money; a study of the theory of the medium of exchange (Book 1904).pdf,Textbooks/Academic/Banking/David Kinley - Money; a study of the theory of the medium of exchange (Book 1904).pdf,0,0,0.0,,
Dilley - Essentials of Banking (Book 2008).pdf,Textbooks/Academic/Banking/Dilley - Essentials of Banking (Book 2008).pdf,0,5,-1.0,,"how to(2), CEO(1), compliance(1), client(1)"
"Dunbar, Charles F. - The Theory and History of Banking (Book 1901).pdf","Textbooks/Academic/Banking/Dunbar, Charles F. - The Theory and History of Banking (Book 1901).pdf",0,0,0.0,,
Easton - Banks and banking (Book 1896).pdf,Textbooks/Academic/Banking/Easton - Banks and banking (Book 1896).pdf,1,0,1.0,university press(1),
Edwin Hill - Principles of currency (Book 1856).pdf,Textbooks/Academic/Banking/Edwin Hill - Principles of currency (Book 1856).pdf,0,0,0.0,,
Egon Sohmen - International monetary problems and the foreign exchanges. -- (Book 1963).pdf,Textbooks/Academic/Banking/Egon Sohmen - International monetary problems and the foreign exchanges. -- (Book 1963).pdf,1,3,-0.5,semester(1),"in practice(1), practical(1), real-world(1)"
Einzig - Foreign Exchange Crises (Book 1968).pdf,Textbooks/Academic/Banking/Einzig - Foreign Exchange Crises (Book 1968).pdf,1,1,0.0,this course(1),practical(1)
Einzig - Foreign Exchange Crisis An Essay in Economic Pathology (Book 1970).pdf,Textbooks/Academic/Banking/Einzig - Foreign Exchange Crisis An Essay in Economic Pathology (Book 1970).pdf,0,0,0.0,,
Einzig - Parallel Money Markets (Book 1971).pdf,Textbooks/Academic/Banking/Einzig - Parallel Money Markets (Book 1971).pdf,1,1,0.0,textbook(1),practical(1)
Fabius Melton Butler - Lincoln money martyred (Book 1935).pdf,Textbooks/Academic/Banking/Fabius Melton Butler - Lincoln money martyred (Book 1935).pdf,0,0,0.0,,
Federal Reserve - Banking and Monetary Statistics 1914-1941 (Book 1943).pdf,Textbooks/Academic/Banking/Federal Reserve - Banking and Monetary Statistics 1914-1941 (Book 1943).pdf,1,1,0.0,t-statistic(1),guide(1)
Federal Reserve - Banking and Monetary Statistics 1941-1970 (Book 1976).pdf,Textbooks/Academic/Banking/Federal Reserve - Banking and Monetary Statistics 1941-1970 (Book 1976).pdf,0,1,-1.0,,guide(1)
Federal Reserve Board - Banking Studies (Book 1941).pdf,Textbooks/Academic/Banking/Federal Reserve Board - Banking Studies (Book 1941).pdf,0,0,0.0,,
Fisher - The Money Illusion (Book 1928).pdf,Textbooks/Academic/Banking/Fisher - The Money Illusion (Book 1928).pdf,0,0,0.0,,
"Fisher, Irving - Stabilizing the dollar (Book 1920).pdf","Textbooks/Academic/Banking/Fisher, Irving - Stabilizing the dollar (Book 1920).pdf",0,0,0.0,,
"Fisher, Irving - The purchasing power of money (Book 1911).pdf","Textbooks/Academic/Banking/Fisher, Irving - The purchasing power of money (Book 1911).pdf",1,2,-0.3333,t-statistic(1),practical(2)
Friedman - The Optimum Quantity of Money (Book 1969).pdf,Textbooks/Academic/Banking/Friedman - The Optimum Quantity of Money (Book 1969).pdf,0,3,-1.0,,"retirement(2), in practice(1)"
"Friedman, David H. - Money Banking (Book 1998).pdf","Textbooks/Academic/Banking/Friedman, David H. - Money Banking (Book 1998).pdf",2,0,1.0,"textbook(1), instructor(1)",
"Friedman, Schwartz - Monetary Trends in the US and UK (Book 1982).pdf","Textbooks/Academic/Banking/Friedman, Schwartz - Monetary Trends in the US and UK (Book 1982).pdf",0,2,-1.0,,board of directors(2)
Galbraith - Money Whence It Came Where It Went (Book 1975).pdf,Textbooks/Academic/Banking/Galbraith - Money Whence It Came Where It Went (Book 1975).pdf,0,0,0.0,,
George Tucker - The theory of money and banks investigated (Book 1839).pdf,Textbooks/Academic/Banking/George Tucker - The theory of money and banks investigated (Book 1839).pdf,0,3,-1.0,,practical(3)
"Goldenweiser, E. A. - American Monetary Policy (Book 1951).pdf","Textbooks/Academic/Banking/Goldenweiser, E. A. - American Monetary Policy (Book 1951).pdf",0,0,0.0,,
"Goldman, Julian - Prosperity and Consumer Credit (Book 1930).pdf","Textbooks/Academic/Banking/Goldman, Julian - Prosperity and Consumer Credit (Book 1930).pdf",0,0,0.0,,
Goldsmith - A Study of Saving in the US (Book 1955).pdf,Textbooks/Academic/Banking/Goldsmith - A Study of Saving in the US (Book 1955).pdf,9,28,-0.5135,"et al.(5), empirical evidence(3), university press(1)","retirement(26), how to(1), in practice(1)"
Goldsmith - Financial Intermediaries in the American Economy (Book 1958).pdf,Textbooks/Academic/Banking/Goldsmith - Financial Intermediaries in the American Economy (Book 1958).pdf,4,2,0.3333,university press(4),board of directors(2)
Goldsmith - Financial Intermediaries in the American Economy since 1900 (Book 1958).pdf,Textbooks/Academic/Banking/Goldsmith - Financial Intermediaries in the American Economy since 1900 (Book 1958).pdf,4,2,0.3333,university press(4),board of directors(2)
Goldsmith - The Share of Financial Intermediaries in National Wealth (Book 1954).pdf,Textbooks/Academic/Banking/Goldsmith - The Share of Financial Intermediaries in National Wealth (Book 1954).pdf,4,0,1.0,"American Economic Review(2), the model(2)",
"Goldsmith, Lipsey - Studies in the National Balance Sheet Vol 1 (Book 1963).pdf","Textbooks/Academic/Banking/Goldsmith, Lipsey - Studies in the National Balance Sheet Vol 1 (Book 1963).pdf",2,1,0.3333,university press(2),board of directors(1)
"Goldsmith, Lipsey, Mendelson - Studies in the National Balance Sheet Vol 2 (Book 1963).pdf","Textbooks/Academic/Banking/Goldsmith, Lipsey, Mendelson - Studies in the National Balance Sheet Vol 2 (Book 1963).pdf",2,3,-0.2,university press(2),"board of directors(2), retirement(1)"
"Grant, James - A treatise on the law relating to bankers and banking (Book 1856).pdf","Textbooks/Academic/Banking/Grant, James - A treatise on the law relating to bankers and banking (Book 1856).pdf",0,3,-1.0,,"practical(2), in practice(1)"
"Grebler, Blank, Winnick - Capital Formation in Residential Real Estate (Book 1956).pdf","Textbooks/Academic/Banking/Grebler, Blank, Winnick - Capital Formation in Residential Real Estate (Book 1956).pdf",3,2,0.2,"this course(2), university press(1)",board of directors(2)
Gustavus Myers - History of Canadian wealth (Book 1914).pdf,Textbooks/Academic/Banking/Gustavus Myers - History of Canadian wealth (Book 1914).pdf,0,0,0.0,,
Guttentag - Essays on Interest Rates Vol 2 (Book 1971).pdf,Textbooks/Academic/Banking/Guttentag - Essays on Interest Rates Vol 2 (Book 1971).pdf,2,2,0.0,university press(2),board of directors(2)
"Guttentag, Cagan - Essays on Interest Rates Vol 1 (Book 1969).pdf","Textbooks/Academic/Banking/Guttentag, Cagan - Essays on Interest Rates Vol 1 (Book 1969).pdf",1,2,-0.3333,university press(1),board of directors(2)
Harry Tucker Easton - History and principles of banks and banking (Book 1904).pdf,Textbooks/Academic/Banking/Harry Tucker Easton - History and principles of banks and banking (Book 1904).pdf,1,0,1.0,university press(1),
Henry Carey Baird - The theory of inflation (Book 1873).pdf,Textbooks/Academic/Banking/Henry Carey Baird - The theory of inflation (Book 1873).pdf,2,1,0.3333,proposition(2),practical(1)
Henry Dunning Macleod - The elements of banking (Book 1877).pdf,Textbooks/Academic/Banking/Henry Dunning Macleod - The elements of banking (Book 1877).pdf,1,3,-0.5,proof(1),"practical(2), guide(1)"
Henry Dunning Macleod - The theory and practice of banking (Book 1855).pdf,Textbooks/Academic/Banking/Henry Dunning Macleod - The theory and practice of banking (Book 1855).pdf,0,0,0.0,,
Henry Dunning Macleod - The theory of credit (Book 1889).pdf,Textbooks/Academic/Banking/Henry Dunning Macleod - The theory of credit (Book 1889).pdf,1,0,1.0,this course(1),
"Henry Nicholas Sealy - A Treatise On Coins, Currency And Banking (Book 1858).pdf","Textbooks/Academic/Banking/Henry Nicholas Sealy - A Treatise On Coins, Currency And Banking (Book 1858).pdf",1,0,1.0,this course(1),
"Hester, Pierce - Bank Management and Portfolio Behavior (Book 1975).pdf","Textbooks/Academic/Banking/Hester, Pierce - Bank Management and Portfolio Behavior (Book 1975).pdf",8,0,1.0,"regression(2), the model(2), university press(2), equilibrium(1), endogen(1)",
Howe - The Evolution of Banking (Book 1915).pdf,Textbooks/Academic/Banking/Howe - The Evolution of Banking (Book 1915).pdf,0,0,0.0,,
Huerta de Soto - Money Bank Credit and Economic Cycles (Book 2006).pdf,Textbooks/Academic/Banking/Huerta de Soto - Money Bank Credit and Economic Cycles (Book 2006).pdf,1,0,1.0,regression(1),
Hugo Bilgram - The cause of business depressions as disclosed by an analysis of the basic (Book 1914).pdf,Textbooks/Academic/Banking/Hugo Bilgram - The cause of business depressions as disclosed by an analysis of the basic (Book 1914).pdf,0,0,0.0,,
Iden - The Federal Reserve Act of 1913 History and Digest (Book 1914).pdf,Textbooks/Academic/Banking/Iden - The Federal Reserve Act of 1913 History and Digest (Book 1914).pdf,0,0,0.0,,
J. Laurence Laughlin - The history of bimetallism in the United States (Book 1886).pdf,Textbooks/Academic/Banking/J. Laurence Laughlin - The history of bimetallism in the United States (Book 1886).pdf,0,0,0.0,,
J. R. McCulloch - A treatise on metallic and paper money and banks (Book 1858).pdf,Textbooks/Academic/Banking/J. R. McCulloch - A treatise on metallic and paper money and banks (Book 1858).pdf,0,0,0.0,,
J. Shield Nicholson - A treatise on money and essays on monetary problems (Book 1893).pdf,Textbooks/Academic/Banking/J. Shield Nicholson - A treatise on money and essays on monetary problems (Book 1893).pdf,0,2,-1.0,,practical(2)
James McCall Tipton - Inflationary expectations and the term structure of interest rates (Book 1981).pdf,Textbooks/Academic/Banking/James McCall Tipton - Inflationary expectations and the term structure of interest rates (Book 1981).pdf,2,0,1.0,"proposition(1), equilibrium(1)",
"Jean Baptiste Say; Charles Robert Prinsep; Clement Cornell Biddle - A treatise on political economy, or, the production, distribution, and (Book 1803).pdf","Textbooks/Academic/Banking/Jean Baptiste Say; Charles Robert Prinsep; Clement Cornell Biddle - A treatise on political economy, or, the production, distribution, and (Book 1803).pdf",0,2,-1.0,,practical(2)
John L. Scadding - Relationship between changes in the stock of money and changes in output and (Book 1973).pdf,Textbooks/Academic/Banking/John L. Scadding - Relationship between changes in the stock of money and changes in output and (Book 1973).pdf,3,0,1.0,the model(3),
John Pease Norton - Statistical studies in the New York money market (Book 1902).pdf,Textbooks/Academic/Banking/John Pease Norton - Statistical studies in the New York money market (Book 1902).pdf,1,1,0.0,proof(1),tip(1)
John Stuart Mill - Principles of Political Economy (Book 1848).pdf,Textbooks/Academic/Banking/John Stuart Mill - Principles of Political Economy (Book 1848).pdf,1,2,-0.3333,this course(1),"how to(1), practical(1)"
Johnson - Historical Beginnings The Federal Reserve (Book 2010).pdf,Textbooks/Academic/Banking/Johnson - Historical Beginnings The Federal Reserve (Book 2010).pdf,0,0,0.0,,
Karl Kaltenthaler - Germany and the politics of Europe's money (Book 1998).pdf,Textbooks/Academic/Banking/Karl Kaltenthaler - Germany and the politics of Europe's money (Book 1998).pdf,2,0,1.0,university press(2),
Kessel - Cyclical Behavior of the Term Structure of Interest Rates (Book 1965).pdf,Textbooks/Academic/Banking/Kessel - Cyclical Behavior of the Term Structure of Interest Rates (Book 1965).pdf,2,2,0.0,"regression(1), university press(1)",board of directors(2)
Knapp - The State Theory of Money (Book 1924).pdf,Textbooks/Academic/Banking/Knapp - The State Theory of Money (Book 1924).pdf,2,2,0.0,this course(2),"how to(1), practical(1)"
Laughlin - Principles of Money (Book 1919).pdf,Textbooks/Academic/Banking/Laughlin - Principles of Money (Book 1919).pdf,0,0,0.0,,
"Laughlin, J. Laurence - The Principles of Money (Book 1903).pdf","Textbooks/Academic/Banking/Laughlin, J. Laurence - The Principles of Money (Book 1903).pdf",0,0,0.0,,
Leavens - Silver Money (Book 1939).pdf,Textbooks/Academic/Banking/Leavens - Silver Money (Book 1939).pdf,1,1,0.0,proof(1),broker(1)
Lintner - Mutual Savings Banking in the Finance Structure (Book 1948).pdf,Textbooks/Academic/Banking/Lintner - Mutual Savings Banking in the Finance Structure (Book 1948).pdf,2,0,1.0,university press(2),
Mills - The principles of currency and banking (Book 1853).pdf,Textbooks/Academic/Banking/Mills - The principles of currency and banking (Book 1853).pdf,0,0,0.0,,
Murray - The Lending Policies of the Reconstruction Finance Corporation (Book 1971).pdf,Textbooks/Academic/Banking/Murray - The Lending Policies of the Reconstruction Finance Corporation (Book 1971).pdf,11,0,1.0,"regression(3), coefficient(3), the model(2), equilibrium(1), standard error(1)",
Nelson C. Modeste - Economic instability and the monetary process of adjustment in an open economy (Book 1976).pdf,Textbooks/Academic/Banking/Nelson C. Modeste - Economic instability and the monetary process of adjustment in an open economy (Book 1976).pdf,3,0,1.0,"proposition(1), equilibrium(1), coefficient(1)",
Nevin - The London Clearing Banks (Book 1970).pdf,Textbooks/Academic/Banking/Nevin - The London Clearing Banks (Book 1970).pdf,0,0,0.0,,
Palgrave (ed.) - Banking Systems of the World (Book 1908).pdf,Textbooks/Academic/Banking/Palgrave (ed.) - Banking Systems of the World (Book 1908).pdf,0,1,-1.0,,Wall Street(1)
Paul A. Griffin - Usefulness to investors and creditors of information provided by financial (Book 1982).pdf,Textbooks/Academic/Banking/Paul A. Griffin - Usefulness to investors and creditors of information provided by financial (Book 1982).pdf,0,0,0.0,,
"Queen's University (Kingston, Ont.) - Course in banking (Book 1996).pdf","Textbooks/Academic/Banking/Queen's University (Kingston, Ont.) - Course in banking (Book 1996).pdf",1,16,-0.8824,proof(1),"broker(9), Wall Street(5), tip(1), client(1)"
Richard B. Pullan - Theory of money & currency (Book 1878).pdf,Textbooks/Academic/Banking/Richard B. Pullan - Theory of money & currency (Book 1878).pdf,1,0,1.0,proof(1),
Richard Webster - Principles of monetary legislation (Book 1874).pdf,Textbooks/Academic/Banking/Richard Webster - Principles of monetary legislation (Book 1874).pdf,0,0,0.0,,
"Riefler, Winfield W - Money Rates and Money Markets in the United States (Book 1930).pdf","Textbooks/Academic/Banking/Riefler, Winfield W - Money Rates and Money Markets in the United States (Book 1930).pdf",0,0,0.0,,
Rose - Commercial Bank Management (Book 2002).pdf,Textbooks/Academic/Banking/Rose - Commercial Bank Management (Book 2002).pdf,0,3,-1.0,,"guide(1), case study(1), financial planning(1)"
"Rose, Peter S - Money And Capital Markets The Financial System In An In (Book 1992).pdf","Textbooks/Academic/Banking/Rose, Peter S - Money And Capital Markets The Financial System In An In (Book 1992).pdf",0,0,0.0,,
Saulnier - Costs and Returns on Farm Mortgage Lending (Book 1949).pdf,Textbooks/Academic/Banking/Saulnier - Costs and Returns on Farm Mortgage Lending (Book 1949).pdf,5,2,0.4286,"university press(3), textbook(2)",practical(2)
Saulnier - Urban Mortgage Lending by Life Insurance Companies (Book 1950).pdf,Textbooks/Academic/Banking/Saulnier - Urban Mortgage Lending by Life Insurance Companies (Book 1950).pdf,4,2,0.3333,"university press(2), we derive(1), we assume(1)","guide(1), a guide for(1)"
