filename,path,author,title,year,npv_hits,eps_hits,score,top_npv_terms,top_eps_terms
Pacioli (Geijsbeek) - Ancient Double-Entry Bookkeeping (Book 1914).pdf,Textbooks/Academic/Accounting/Pacioli (Geijsbeek) - Ancient Double-Entry Bookkeeping (Book 1914).pdf,Pacioli (Geijsbeek),Ancient Double-Entry Bookkeeping,1914,0,4,-1.0,,roe(4)
Paul-Joseph Esquerre - The applied theory of accounts (Book 1914).pdf,Textbooks/Academic/Accounting/Paul-Joseph Esquerre - The applied theory of accounts (Book 1914).pdf,Paul,Joseph Esquerre - The applied theory of accounts,1914,0,4,-1.0,,"roe(3), accretive/accretion(1)"
Robert Beyer - Profitability accounting for planning and control (Book 1963).pdf,Textbooks/Academic/Accounting/Robert Beyer - Profitability accounting for planning and control (Book 1963).pdf,Robert Beyer,Profitability accounting for planning and control,1963,53,113,-0.3614,"present value(35), discounted cash flow(9), opportunity cost(3), time value of money(3), net present value(2)","return on capital(50), rate of return(49), payback period(4), earning power(3), book value(3)"
Rohit Jain - An empirical investigation of some economic consequences of FASB statement no. 8 (Book 1980).pdf,Textbooks/Academic/Accounting/Rohit Jain - An empirical investigation of some economic consequences of FASB statement no. 8 (Book 1980).pdf,Rohit Jain,An empirical investigation of some economic consequences of FASB statement no. 8,1980,11,4,0.4667,"expected return(3), capital asset pricing(2), efficient market(2), random walk(2), portfolio beta(1)","par value(3), rate of return(1)"
"Shillinglaw, Gordon, Ronen - Accounting a Management Approach (Book 1979).pdf","Textbooks/Academic/Accounting/Shillinglaw, Gordon, Ronen - Accounting a Management Approach (Book 1979).pdf","Shillinglaw, Gordon, Ronen",Accounting a Management Approach,1979,136,416,-0.5072,"present value(122), sunk cost(6), net present value(3), present worth(2), discounted cash flow(1)","per share(159), book value(90), par value(64), rate of return(50), earnings per share(18)"
Sir Matthew Hale - A short treatise touching sheriffs accompts (Book 1716).pdf,Textbooks/Academic/Accounting/Sir Matthew Hale - A short treatise touching sheriffs accompts (Book 1716).pdf,Sir Matthew Hale,A short treatise touching sheriffs accompts,1716,0,0,0.0,,
"Spiller, EarlA - Financial Accounting Basic Concepts (Book 1977).pdf","Textbooks/Academic/Accounting/Spiller, EarlA - Financial Accounting Basic Concepts (Book 1977).pdf","Spiller, EarlA",Financial Accounting Basic Concepts,1977,282,402,-0.1754,"present value(261), discounted cash flow(10), net present value(3), opportunity cost(2), expected return(2)","per share(118), book value(81), par value(78), rate of return(43), earnings per share(34)"
"Tinker, Tony - Paper Prophets A Social Critique Of Accounting (Book 1985).pdf","Textbooks/Academic/Accounting/Tinker, Tony - Paper Prophets A Social Critique Of Accounting (Book 1985).pdf","Tinker, Tony",Paper Prophets A Social Critique Of Accounting,1985,12,41,-0.5472,"present value(10), net present value(1), opportunity cost(1)","per share(22), earnings per share(8), rate of return(8), return on capital(1), price-earnings(1)"
Vincent - Public Accounting a Profession at the Crossroads (Book 1988).pdf,Textbooks/Academic/Accounting/Vincent - Public Accounting a Profession at the Crossroads (Book 1988).pdf,Vincent,Public Accounting a Profession at the Crossroads,1988,0,0,0.0,,
W. R. Purcell - Understanding a company's finances (Book 1981).pdf,Textbooks/Academic/Accounting/W. R. Purcell - Understanding a company's finances (Book 1981).pdf,W. R. Purcell,Understanding a company's finances,1981,1,1,0.0,fcf(1),roe(1)
"Walton, Finney - Mathematics of Accounting and Finance (Book 1921).pdf","Textbooks/Academic/Accounting/Walton, Finney - Mathematics of Accounting and Finance (Book 1921).pdf","Walton, Finney",Mathematics of Accounting and Finance,1921,151,35,0.6237,"present value(129), present worth(22)","per share(21), earning power(4), rate of return(4), par value(3), earning capacity(2)"
"Wild, John J - Financial Accounting Fundamentals (Book 2007).pdf","Textbooks/Academic/Accounting/Wild, John J - Financial Accounting Fundamentals (Book 2007).pdf","Wild, John J",Financial Accounting Fundamentals,2007,241,1212,-0.6683,"present value(210), time value of money(15), expected return(8), free cash flow(6), net present value(1)","per share(424), par value(343), book value(155), earnings per share(72), times interest earned(50)"
William J. Bies - Accounting (Book 1983).pdf,Textbooks/Academic/Accounting/William J. Bies - Accounting (Book 1983).pdf,William J. Bies,Accounting,1983,0,0,0.0,,
"Wilson, Carpenter - Analysis of Financial Statements (Book 1918).pdf","Textbooks/Academic/Accounting/Wilson, Carpenter - Analysis of Financial Statements (Book 1918).pdf","Wilson, Carpenter",Analysis of Financial Statements,1918,0,4,-1.0,,"earning power(2), accretive/accretion(1), par value(1)"
Ambrose Weston - Two letters describing a method of increasing the quantity of (Book 1799).pdf,Textbooks/Academic/Banking/Ambrose Weston - Two letters describing a method of increasing the quantity of (Book 1799).pdf,Ambrose Weston,Two letters describing a method of increasing the quantity of,1799,0,0,0.0,,
"Arshadi, Nasser - Modern Financial Intermediaries and Markets (Book 1997).pdf","Textbooks/Academic/Banking/Arshadi, Nasser - Modern Financial Intermediaries and Markets (Book 1997).pdf","Arshadi, Nasser",Modern Financial Intermediaries and Markets,1997,298,70,0.6196,"present value(68), information asymmetry(25), black-scholes(23), expected return(22), risk premium(18)","per share(12), book value(9), par value(9), roe(8), rate of return(8)"
"Baldwin, R. E. - The Economics of EMU (Book 1991).pdf","Textbooks/Academic/Banking/Baldwin, R. E. - The Economics of EMU (Book 1991).pdf","Baldwin, R. E.",The Economics of EMU,1991,74,30,0.4231,"risk premium(19), present value(16), expected return(12), random walk(9), discounted value(5)","rate of return(22), return on capital(4), relative valuation(2), roe(1), dilutive/dilution(1)"
Ball - Inflation and the Theory of Money (Book 1965).pdf,Textbooks/Academic/Banking/Ball - Inflation and the Theory of Money (Book 1965).pdf,Ball,Inflation and the Theory of Money,1965,7,32,-0.641,"expected return(5), perfect capital markets(1), present value(1)","rate of return(24), return on capital(5), run-rate(2), traditional theory(1)"
Banking Systems of the World (Book 1908).pdf,Textbooks/Academic/Banking/Banking Systems of the World (Book 1908).pdf,,Banking Systems of the World (Book 1908),1908,0,1,-1.0,,book value(1)
Basch - Capital Markets of the European Economic Community (Book 1965).pdf,Textbooks/Academic/Banking/Basch - Capital Markets of the European Economic Community (Book 1965).pdf,Basch,Capital Markets of the European Economic Community,1965,0,1,-1.0,,par value(1)
Betty M. Ho - Financial markets in China (Book 2006).pdf,Textbooks/Academic/Banking/Betty M. Ho - Financial markets in China (Book 2006).pdf,Betty M. Ho,Financial markets in China,2006,0,0,0.0,,
"Bingham, T. R. G. - Banking and monetary policy (Book 1985).pdf","Textbooks/Academic/Banking/Bingham, T. R. G. - Banking and monetary policy (Book 1985).pdf","Bingham, T. R. G.",Banking and monetary policy,1985,9,6,0.2,"present value(3), opportunity cost(3), risk premium(2), portfolio theory(1)","return on capital(2), accretive/accretion(2), traditional theory(1), rate of return(1)"
"Blake, Edward - Speeches of Hon. Edward Blake, M.P., on banks and banking (Book 1986).pdf","Textbooks/Academic/Banking/Blake, Edward - Speeches of Hon. Edward Blake, M.P., on banks and banking (Book 1986).pdf","Blake, Edward","Speeches of Hon. Edward Blake, M.P., on banks and banking",1986,0,0,0.0,,
Bonamy Price - The principles of currency (Book 1863).pdf,Textbooks/Academic/Banking/Bonamy Price - The principles of currency (Book 1863).pdf,Bonamy Price,The principles of currency,1863,0,8,-1.0,,"intrinsic value(7), par value(1)"
"Bonn, M. J. - The Stabilization of the Mark (Book 1922).pdf","Textbooks/Academic/Banking/Bonn, M. J. - The Stabilization of the Mark (Book 1922).pdf","Bonn, M. J.",The Stabilization of the Mark,1922,0,0,0.0,,
Bowden - Money Banking and the Financial System (Book 1989).pdf,Textbooks/Academic/Banking/Bowden - Money Banking and the Financial System (Book 1989).pdf,Bowden,Money Banking and the Financial System,1989,163,38,0.6219,"portfolio theory(40), time value of money(32), present value(31), opportunity cost(22), expected return(15)","roe(17), rate of return(9), par value(5), return on equity(4), per share(1)"
Cagan - Determinants and Effects of Changes in the Stock of Money (Book 1965).pdf,Textbooks/Academic/Banking/Cagan - Determinants and Effects of Changes in the Stock of Money (Book 1965).pdf,Cagan,Determinants and Effects of Changes in the Stock of Money,1965,2,45,-0.9149,risk premium(2),"rate of return(21), par value(16), return on capital(5), traditional theory(1), margin of safety(1)"
"Cannon, James G. - Clearing Houses (Book 1900).pdf","Textbooks/Academic/Banking/Cannon, James G. - Clearing Houses (Book 1900).pdf","Cannon, James G.",Clearing Houses,1900,0,4,-1.0,,"par value(2), roe(1), book value(1)"
Carol Sloan Swindle - Using CAMEL ratings to evaluate the effectiveness of capital regulation (Book 1991).pdf,Textbooks/Academic/Banking/Carol Sloan Swindle - Using CAMEL ratings to evaluate the effectiveness of capital regulation (Book 1991).pdf,Carol Sloan Swindle,Using CAMEL ratings to evaluate the effectiveness of capital regulation,1991,5,18,-0.5652,"present value(2), event study(2), mean-variance(1)","book value(17), per share(1)"
Chandler - The Economics of Money and Banking (Book 1964).pdf,Textbooks/Academic/Banking/Chandler - The Economics of Money and Banking (Book 1964).pdf,Chandler,The Economics of Money and Banking,1964,17,18,-0.0286,"present value(13), efficient market(2), expected return(1), discounted value(1)","rate of return(10), par value(6), accretive/accretion(2)"
Charles Chi-Wei Chi - The information content and hedging performance of foreign currency translations (Book 1989).pdf,Textbooks/Academic/Banking/Charles Chi-Wei Chi - The information content and hedging performance of foreign currency translations (Book 1989).pdf,Charles Chi,Wei Chi - The information content and hedging performance of foreign currency translations,1989,4,1,0.6,"capm(2), random walk(2)",eps(1)
Charles Eisenstein - Sacred Economics (Book 2011).pdf,Textbooks/Academic/Banking/Charles Eisenstein - Sacred Economics (Book 2011).pdf,Charles Eisenstein,Sacred Economics,2011,9,13,-0.1818,"risk premium(3), present value(2), expected return(2), net present value(1), sunk cost(1)","intrinsic value(5), return on capital(4), rate of return(4)"
"Christopher Dubost - The elements of commerce; or, A treatise on different calculations, operations (Book 1805).pdf","Textbooks/Academic/Banking/Christopher Dubost - The elements of commerce; or, A treatise on different calculations, operations (Book 1805).pdf",Christopher Dubost,"The elements of commerce; or, A treatise on different calculations, operations",1805,0,0,0.0,,
Clark - Central Banking Under the Federal Reserve System (Book 1935).pdf,Textbooks/Academic/Banking/Clark - Central Banking Under the Federal Reserve System (Book 1935).pdf,Clark,Central Banking Under the Federal Reserve System,1935,0,2,-1.0,,accretive/accretion(2)
Clarkson - Managing Money and Finance (Book 1983).pdf,Textbooks/Academic/Banking/Clarkson - Managing Money and Finance (Book 1983).pdf,Clarkson,Managing Money and Finance,1983,43,223,-0.6767,"present value(21), opportunity cost(8), weighted average cost of capital(7), discounted cash flow(2), expected return(2)","rate of return(36), per share(34), dilutive/dilution(25), earnings per share(23), earnings yield(20)"
Conant - A History of Modern Banks of Issue (Book 1915).pdf,Textbooks/Academic/Banking/Conant - A History of Modern Banks of Issue (Book 1915).pdf,Conant,A History of Modern Banks of Issue,1915,1,29,-0.9333,present value(1),"par value(17), per share(10), accretive/accretion(1), rate of return(1)"
"Conant, Charles A. - A History of Modern Banks of Issue (Book 1896).pdf","Textbooks/Academic/Banking/Conant, Charles A. - A History of Modern Banks of Issue (Book 1896).pdf","Conant, Charles A.",A History of Modern Banks of Issue,1896,2,1,0.3333,present value(2),par value(1)
Conard - The Behavior of Interest Rates (Book 1966).pdf,Textbooks/Academic/Banking/Conard - The Behavior of Interest Rates (Book 1966).pdf,Conard,The Behavior of Interest Rates,1966,75,4,0.8987,"risk premium(73), opportunity cost(1), expected return(1)","times interest earned(3), rate of return(1)"
Condy Raguet - A treatise on currency & banking (Book 1839).pdf,Textbooks/Academic/Banking/Condy Raguet - A treatise on currency & banking (Book 1839).pdf,Condy Raguet,A treatise on currency & banking,1839,3,17,-0.7,present value(3),"intrinsic value(12), par value(3), per share(2)"
Crane - A Scientific Currency (Book 1910).pdf,Textbooks/Academic/Banking/Crane - A Scientific Currency (Book 1910).pdf,Crane,A Scientific Currency,1910,0,2,-1.0,,intrinsic value(2)
David Kinley - Money; a study of the theory of the medium of exchange (Book 1904).pdf,Textbooks/Academic/Banking/David Kinley - Money; a study of the theory of the medium of exchange (Book 1904).pdf,David Kinley,Money; a study of the theory of the medium of exchange,1904,1,2,-0.3333,present value(1),"per share(1), par value(1)"
Dilley - Essentials of Banking (Book 2008).pdf,Textbooks/Academic/Banking/Dilley - Essentials of Banking (Book 2008).pdf,Dilley,Essentials of Banking,2008,1,0,1.0,opportunity cost(1),
"Dunbar, Charles F. - The Theory and History of Banking (Book 1901).pdf","Textbooks/Academic/Banking/Dunbar, Charles F. - The Theory and History of Banking (Book 1901).pdf","Dunbar, Charles F.",The Theory and History of Banking,1901,2,5,-0.4286,present worth(2),"par value(2), earning power(1), margin of safety(1), rate of return(1)"
Easton - Banks and banking (Book 1896).pdf,Textbooks/Academic/Banking/Easton - Banks and banking (Book 1896).pdf,Easton,Banks and banking,1896,2,3,-0.2,present value(2),"per share(2), par value(1)"
Edwin Hill - Principles of currency (Book 1856).pdf,Textbooks/Academic/Banking/Edwin Hill - Principles of currency (Book 1856).pdf,Edwin Hill,Principles of currency,1856,0,0,0.0,,
Egon Sohmen - International monetary problems and the foreign exchanges. -- (Book 1963).pdf,Textbooks/Academic/Banking/Egon Sohmen - International monetary problems and the foreign exchanges. -- (Book 1963).pdf,Egon Sohmen,International monetary problems and the foreign exchanges. --,1963,0,34,-1.0,,par value(34)
Einzig - Foreign Exchange Crises (Book 1968).pdf,Textbooks/Academic/Banking/Einzig - Foreign Exchange Crises (Book 1968).pdf,Einzig,Foreign Exchange Crises,1968,0,1,-1.0,,book value(1)
Einzig - Foreign Exchange Crisis An Essay in Economic Pathology (Book 1970).pdf,Textbooks/Academic/Banking/Einzig - Foreign Exchange Crisis An Essay in Economic Pathology (Book 1970).pdf,Einzig,Foreign Exchange Crisis An Essay in Economic Pathology,1970,0,1,-1.0,,earning capacity(1)
Einzig - Parallel Money Markets (Book 1971).pdf,Textbooks/Academic/Banking/Einzig - Parallel Money Markets (Book 1971).pdf,Einzig,Parallel Money Markets,1971,2,0,1.0,efficient market(2),
Fabius Melton Butler - Lincoln money martyred (Book 1935).pdf,Textbooks/Academic/Banking/Fabius Melton Butler - Lincoln money martyred (Book 1935).pdf,Fabius Melton Butler,Lincoln money martyred,1935,0,7,-1.0,,"intrinsic value(4), earning power(3)"
Federal Reserve - Banking and Monetary Statistics 1914-1941 (Book 1943).pdf,Textbooks/Academic/Banking/Federal Reserve - Banking and Monetary Statistics 1914-1941 (Book 1943).pdf,Federal Reserve,Banking and Monetary Statistics 1914-1941,1943,0,22,-1.0,,"par value(11), book value(8), rate of return(2), intrinsic value(1)"
Federal Reserve - Banking and Monetary Statistics 1941-1970 (Book 1976).pdf,Textbooks/Academic/Banking/Federal Reserve - Banking and Monetary Statistics 1941-1970 (Book 1976).pdf,Federal Reserve,Banking and Monetary Statistics 1941-1970,1976,0,50,-1.0,,"par value(23), book value(19), rate of return(5), accretive/accretion(1), earnings yield(1)"
Federal Reserve Board - Banking Studies (Book 1941).pdf,Textbooks/Academic/Banking/Federal Reserve Board - Banking Studies (Book 1941).pdf,Federal Reserve Board,Banking Studies,1941,0,12,-1.0,,"rate of return(4), book value(2), intrinsic value(2), par value(2), return on capital(1)"
Fisher - The Money Illusion (Book 1928).pdf,Textbooks/Academic/Banking/Fisher - The Money Illusion (Book 1928).pdf,Fisher,The Money Illusion,1928,0,3,-1.0,,"per share(2), roe(1)"
"Fisher, Irving - Stabilizing the dollar (Book 1920).pdf","Textbooks/Academic/Banking/Fisher, Irving - Stabilizing the dollar (Book 1920).pdf","Fisher, Irving",Stabilizing the dollar,1920,0,1,-1.0,,accretive/accretion(1)
"Fisher, Irving - The purchasing power of money (Book 1911).pdf","Textbooks/Academic/Banking/Fisher, Irving - The purchasing power of money (Book 1911).pdf","Fisher, Irving",The purchasing power of money,1911,3,3,0.0,discounted value(3),"par value(2), per share(1)"
Friedman - The Optimum Quantity of Money (Book 1969).pdf,Textbooks/Academic/Banking/Friedman - The Optimum Quantity of Money (Book 1969).pdf,Friedman,The Optimum Quantity of Money,1969,45,41,0.0465,"factor model(19), risk premium(16), present value(8), efficient market(1), discounted value(1)","rate of return(15), book value(11), return on equity(7), dilutive/dilution(7), run-rate(1)"
"Friedman, David H. - Money Banking (Book 1998).pdf","Textbooks/Academic/Banking/Friedman, David H. - Money Banking (Book 1998).pdf","Friedman, David H.",Money Banking,1998,13,39,-0.5,"opportunity cost(11), expected return(2)","roe(12), par value(9), return on equity(7), rate of return(5), return on capital(2)"
"Friedman, Schwartz - Monetary Trends in the US and UK (Book 1982).pdf","Textbooks/Academic/Banking/Friedman, Schwartz - Monetary Trends in the US and UK (Book 1982).pdf","Friedman, Schwartz",Monetary Trends in the US and UK,1982,17,32,-0.3061,"random walk(4), terminal value(3), risk premium(3), efficient market(3), expected return(2)","rate of return(21), return on capital(7), per share(2), earning power(1), earning capacity(1)"
Galbraith - Money Whence It Came Where It Went (Book 1975).pdf,Textbooks/Academic/Banking/Galbraith - Money Whence It Came Where It Went (Book 1975).pdf,Galbraith,Money Whence It Came Where It Went,1975,3,2,0.2,"risk premium(2), pecking order(1)","dilutive/dilution(1), intrinsic value(1)"
George Tucker - The theory of money and banks investigated (Book 1839).pdf,Textbooks/Academic/Banking/George Tucker - The theory of money and banks investigated (Book 1839).pdf,George Tucker,The theory of money and banks investigated,1839,0,10,-1.0,,"intrinsic value(9), par value(1)"
"Goldenweiser, E. A. - American Monetary Policy (Book 1951).pdf","Textbooks/Academic/Banking/Goldenweiser, E. A. - American Monetary Policy (Book 1951).pdf","Goldenweiser, E. A.",American Monetary Policy,1951,0,4,-1.0,,"rate of return(2), earning power(1), intrinsic value(1)"
"Goldman, Julian - Prosperity and Consumer Credit (Book 1930).pdf","Textbooks/Academic/Banking/Goldman, Julian - Prosperity and Consumer Credit (Book 1930).pdf","Goldman, Julian",Prosperity and Consumer Credit,1930,0,3,-1.0,,"per share(1), earning power(1), book value(1)"
Goldsmith - A Study of Saving in the US (Book 1955).pdf,Textbooks/Academic/Banking/Goldsmith - A Study of Saving in the US (Book 1955).pdf,Goldsmith,A Study of Saving in the US,1955,104,72,0.1818,"present value(33), expected return(31), black-scholes(14), systematic risk(9), risk premium(8)","rate of return(65), return on equity(3), earnings yield(1), average rate of return(1), par value(1)"
Goldsmith - Financial Intermediaries in the American Economy (Book 1958).pdf,Textbooks/Academic/Banking/Goldsmith - Financial Intermediaries in the American Economy (Book 1958).pdf,Goldsmith,Financial Intermediaries in the American Economy,1958,0,12,-1.0,,"book value(8), par value(2), per share(1), rate of return(1)"
Goldsmith - Financial Intermediaries in the American Economy since 1900 (Book 1958).pdf,Textbooks/Academic/Banking/Goldsmith - Financial Intermediaries in the American Economy since 1900 (Book 1958).pdf,Goldsmith,Financial Intermediaries in the American Economy since 1900,1958,0,12,-1.0,,"book value(8), par value(2), per share(1), rate of return(1)"
Goldsmith - The Share of Financial Intermediaries in National Wealth (Book 1954).pdf,Textbooks/Academic/Banking/Goldsmith - The Share of Financial Intermediaries in National Wealth (Book 1954).pdf,Goldsmith,The Share of Financial Intermediaries in National Wealth,1954,24,76,-0.52,"present value(16), opportunity cost(3), perfect capital markets(2), discounted value(2), beta coefficient(1)","rate of return(75), earning capacity(1)"
"Goldsmith, Lipsey - Studies in the National Balance Sheet Vol 1 (Book 1963).pdf","Textbooks/Academic/Banking/Goldsmith, Lipsey - Studies in the National Balance Sheet Vol 1 (Book 1963).pdf","Goldsmith, Lipsey",Studies in the National Balance Sheet Vol 1,1963,0,38,-1.0,,"book value(31), earning power(3), capitalization rate(3), capitalization of earnings(1)"
"Goldsmith, Lipsey, Mendelson - Studies in the National Balance Sheet Vol 2 (Book 1963).pdf","Textbooks/Academic/Banking/Goldsmith, Lipsey, Mendelson - Studies in the National Balance Sheet Vol 2 (Book 1963).pdf","Goldsmith, Lipsey, Mendelson",Studies in the National Balance Sheet Vol 2,1963,0,73,-1.0,,"book value(71), par value(2)"
"Grant, James - A treatise on the law relating to bankers and banking (Book 1856).pdf","Textbooks/Academic/Banking/Grant, James - A treatise on the law relating to bankers and banking (Book 1856).pdf","Grant, James",A treatise on the law relating to bankers and banking,1856,0,11,-1.0,,"per share(5), roe(5), accretive/accretion(1)"
"Grebler, Blank, Winnick - Capital Formation in Residential Real Estate (Book 1956).pdf","Textbooks/Academic/Banking/Grebler, Blank, Winnick - Capital Formation in Residential Real Estate (Book 1956).pdf","Grebler, Blank, Winnick",Capital Formation in Residential Real Estate,1956,2,1,0.3333,"present value(1), opportunity cost(1)",dilutive/dilution(1)
